rank,release_date,artist,album,genre,subgenre,country,spotify_url,spotify_search_url,discogs_search_url,format_owned,mood,why_i_love_it,notes,spotify_id,cover_url,year
1,1984-02-20,The Smiths,The Smiths,Alternative Rock,Indie Pop,,https://open.spotify.com/album/6cI1XoZsOhkyrCwtuI70CN,https://open.spotify.com/search/The%20Smiths%20The%20Smiths,https://www.discogs.com/search/?q=The%20Smiths%20The%20Smiths&type=release,,,,,6cI1XoZsOhkyrCwtuI70CN,https://i.scdn.co/image/ab67616d0000b27346b017e0c96e4186e82df085,1984
2,1984-03-27,Run-D.M.C.,Run-D.M.C.,Hip Hop,Rap Rock,,https://open.spotify.com/album/5nK0vU32lSmcGrglfcOfg8,https://open.spotify.com/search/Run-D.M.C.%20Run-D.M.C.,https://www.discogs.com/search/?q=Run-D.M.C.%20Run-D.M.C.&type=release,,,,,5nK0vU32lSmcGrglfcOfg8,https://i.scdn.co/image/ab67616d0000b2730c653d22500b21d83c6e2b82,
3,1984-06-04,Bruce Springsteen,Born in the U.S.A.,Rock,Heartland Rock,,https://open.spotify.com/album/0PMasrHdpaoIRuHuhHp72O,https://open.spotify.com/search/Bruce%20Springsteen%20Born%20in%20the%20U.S.A.,https://www.discogs.com/search/?q=Bruce%20Springsteen%20Born%20in%20the%20U.S.A.&type=release,,,,,0PMasrHdpaoIRuHuhHp72O,https://i.scdn.co/image/ab67616d0000b273a43a6482e327d623bb0c0f77,1984
4,1984-06-25,Prince and The Revolution,Purple Rain,Pop Rock,R&B; Funk,,https://open.spotify.com/album/2umoqwMrmjBBPeaqgYu6J9,https://open.spotify.com/search/Prince%20and%20The%20Revolution%20Purple%20Rain,https://www.discogs.com/search/?q=Prince%20and%20The%20Revolution%20Purple%20Rain&type=release,,,,,2umoqwMrmjBBPeaqgYu6J9,https://i.scdn.co/image/ab67616d0000b2738a2ce3f148f57584269c3782,1984
5,1984-11-12,Madonna,Like a Virgin,Pop,,,https://open.spotify.com/album/2IU9ftOgyRL2caQGWK1jjX,https://open.spotify.com/search/Madonna%20Like%20a%20Virgin,https://www.discogs.com/search/?q=Madonna%20Like%20a%20Virgin&type=release,,,,,2IU9ftOgyRL2caQGWK1jjX,https://i.scdn.co/image/ab67616d0000b27399d424b0873a9a714279a9f3,1984
6,1984-11-01,Cocteau Twins,Treasure,Ethereal Wave,Dream Pop,,https://open.spotify.com/album/7pBPB9vwqCMLKNmUCK4k62,https://open.spotify.com/search/Cocteau%20Twins%20Treasure,https://www.discogs.com/search/?q=Cocteau%20Twins%20Treasure&type=release,,,,,7pBPB9vwqCMLKNmUCK4k62,https://i.scdn.co/image/ab67616d0000b27308036980eb9381f0ec3d28e9,1984
7,1984,Harold Budd & Brian Eno,The Pearl,Ambient,Minimalism,,https://open.spotify.com/album/5SSf6lNbSoaAUx6PxQVjlP,https://open.spotify.com/search/Harold%20Budd%20%26%20Brian%20Eno%20The%20Pearl,https://www.discogs.com/search/?q=Harold%20Budd%20%26%20Brian%20Eno%20The%20Pearl&type=release,,,,,5SSf6lNbSoaAUx6PxQVjlP,https://i.scdn.co/image/ab67616d0000b273a00536b039aaefb64040d8dd,1984
8,1984-07-24,Minutemen,Double Nickels on the Dime,Punk Rock,Post-Punk,,https://open.spotify.com/album/5viZ5HyYtV0wafK7DoXmgF,https://open.spotify.com/search/Minutemen%20Double%20Nickels%20on%20the%20Dime,https://www.discogs.com/search/?q=Minutemen%20Double%20Nickels%20on%20the%20Dime&type=release,,,,,5viZ5HyYtV0wafK7DoXmgF,https://i.scdn.co/image/ab67616d0000b2732355a03528a6707c35365b1e,1984
9,1984-10-02,The Replacements,Let It Be,Alternative Rock,Punk Rock,,https://open.spotify.com/album/2sOLW5TSgXiLZBacdHxO6m,https://open.spotify.com/search/The%20Replacements%20Let%20It%20Be,https://www.discogs.com/search/?q=The%20Replacements%20Let%20It%20Be&type=release,,,,,2sOLW5TSgXiLZBacdHxO6m,https://i.scdn.co/image/ab67616d0000b273827c73f85e4c50dfdbeef711,1984
10,1984-05,Nick Cave and the Bad Seeds,From Her to Eternity,Post-Punk,,,https://open.spotify.com/album/5XWZDaQXTMUnXAzyBbpR7P,https://open.spotify.com/search/Nick%20Cave%20and%20the%20Bad%20Seeds%20From%20Her%20to%20Eternity,https://www.discogs.com/search/?q=Nick%20Cave%20and%20the%20Bad%20Seeds%20From%20Her%20to%20Eternity&type=release,,,,,5XWZDaQXTMUnXAzyBbpR7P,https://i.scdn.co/image/ab67616d0000b273391e95a5e0586bb530a99694,1984
11,1982-01-01,Felt,The Splendour of Fear,Jangle Pop,Indie Rock,,https://open.spotify.com/album/2rH2jT3RQDTZLhgOpqw0qM,https://open.spotify.com/search/Felt%20The%20Splendour%20of%20Fear,https://www.discogs.com/search/?q=Felt%20The%20Splendour%20of%20Fear&type=release,,,,,2rH2jT3RQDTZLhgOpqw0qM,https://i.scdn.co/image/ab67616d0000b273ad28a8c60eee551ecef1f495,1982
12,1984-03,Scott Walker,Climate of Hunter,Avant-garde,Experimental,,https://open.spotify.com/album/4wCY7Yxf3iZWPlaLeV69Gg,https://open.spotify.com/search/Scott%20Walker%20Climate%20of%20Hunter,https://www.discogs.com/search/?q=Scott%20Walker%20Climate%20of%20Hunter&type=release,,,,,4wCY7Yxf3iZWPlaLeV69Gg,https://i.scdn.co/image/ab67616d0000b273525ae69acf538ba1891a2d58,1984
13,1981-12-12,Manuel Göttsching,E2-E4,Electronic,Ambient,,https://open.spotify.com/album/64UtnfSDLV1OLvhyqfmO8o,https://open.spotify.com/search/Manuel%20G%C3%B6ttsching%20E2-E4,https://www.discogs.com/search/?q=Manuel%20G%C3%B6ttsching%20E2-E4&type=release,,,,,64UtnfSDLV1OLvhyqfmO8o,https://i.scdn.co/image/ab67616d0000b273ffc6c70d3312ea98a628ca41,1981
